title,rating,date,text,verified,helpful
,5.0,"Reviewed in the United States on September 3, 2021","I bought this 2020 MacBook Air (8 GB RAM, 256 GB SSD storage) to replace a 2014 MacBook Air (4GB RAM, 256 GB SSD storage). I am undeniably a fan of Apple products in general, because they work with little fuss and are built to last (note that my old MacBook Air is more than 7 years old and still working perfectly). Although I've been underwhelmed by some Mac models in recent years, this one is stellar IMHO. Unless you have very heavy system requirements this machine would be an excellent choice.

The M1 processor is very impressive, delivering outstanding performance and power/thermal efficiency simultaneously. Battery life is every bit as good as advertised; I can charge overnight and use it all day without plugging in. Connecting USB devices such as external drives will shorten battery life, but that's to be expected. I love the fanless design, which means the machine is absolutely silent at all times, while the thermal efficiency of the M1 chip allows it to remain amazingly cool. In use, this computer feels very fast, especially with apps optimized for Apple processors (as MacOS Big Sur is). Interestingly, Microsoft has been on board early with M1 optimization; the latest Office 365 version is smooth and fast on this machine. I also tried out MS Edge on my new laptop based on a recommendation from another user and have been so pleased with its speed and efficiency that it's my current default browser. The touch ID and Apple Pay capability is a welcome addition.

The only cons I see are minor in my opinion. Because RAM is integrated into the M1 processor, post-purchase memory expansion is not possible; if you think you'll need 16 GB of memory that model can be had from the Apple Store. There has been criticism of the fact that this machine has only two ports, which is fair. For me that's not insurmountable; I simply use a USB-C hub to provide additional connectivity. I've read recently that some users have had certain hubs cause problems with their M1 Macs, which appears to be related to battery charging through these hubs. To be on the safe side I use a built-in port for charging and have had no issues.

Reading through the relative handful of critical reviews, it looks to me like most (excluding actual defects, which happen with all products) are based on lack of understanding. For example, I saw a large number of reviews complaining that this machine ""has NO USB PORTS!!!"", which is patently false. In fact, its two ports are both USB, they just require a different connector. What these users are looking for is the old USB-A connectors, which this MacBook does not have; however, that's easily fixed by using a USB-A to USB-C converter cable, or with a USB-C hub. USB-A peripherals are gradually disappearing as well, in favor of the new connector.

All things considered, I really love this machine. The $899 price (at the time I bought mine) was $100 less than I would have paid at the Apple Store, and I believe I can probably get $200 on eBay for my old MacBook Air (try that with a 7-year-old PC!) leaving me with a total outlay of $699. Considering that I'll almost certainly get 5 or more years use out of this model, I'm very happy with my purchase and would do it again.",True,72 people found this helpful
,5.0,"Reviewed in the United States on December 2, 2020","I have two MacBook Airs (MBA), a 13"" and a 11, both with the previous form factor (the wide, body colored bezel around the screen, 1280x800 resolution) and this new 13"" MBA improves upon it in every way (almost) and makes it nearly perfect.

Good:

- SCREEN looks great! 2560x1600 resolution is bright and sharp and looks good with the thin black bezel. I usually don't go above 50% brightness.

- KEYBOARD is good. Some have mentioned that it still sucks, but I find it much better than the older MBAs that I own and better than say, the Magic Keyboard. Even with a thin silicone keyboard cover I find the typing experience to be much better and I can type faster and with fewer mistakes.

- BATTERY LIFE is fantastic. Haven't done any real testing yet and obviously it depends on a lot of factors (wifi usage, video streaming, HD vs 4k video viewing/processing/etc., screen brightness, type of app being used, etc.) but for my usage (mostly web browsing, video viewing on YouTube, accessing VPN for work (Citrix, EPIC), etc., it has been great. Easily tops 10 hours and super impressed so far.

- LOOKS GREAT. Love the newer (I know that the actual exterior design is a few years old by now) design, looks and feels great. Form factor is nice and it is a reasonable weight.

- NO FAN. That's awesome, as it not only stays quiet all the time but you also do not need to worry about blocking any fan vents on the bottom or back of the case while you have it on your lap. Pretty amazing really for a laptop to have no fans.

- PERFORMANCE. It works great so far on what I have used it for, which is not terribly a lot, but it is what it is for a laptop using Apple silicon for the first time. For just day to day use and things like Chrome, Office (Word, Excel), Citirx, EPIC, etc., it has been super smooth and fast. Have not tried gaming yet but do not have high hopes given it is the base model with 7-core GPU. Also, things like start up are noticeably faster with the M1 versus my 2020 iMac 27"" (top end) with Intel chips.

- TOUCH ID is great still. Works very fast and the button does not get greasy (which makes it not work well) like the old iPhone home buttons. On the other hand, it should really have Face ID at this point.

- APPLE ECOSYSTEM is great as usual and a real reason to get this MBA. Apple Watch easily unlocks it (so you do not really need Face ID if you have the watch). You can easily send/receive files using AirDrop or cast using AirPlay. And so on and so forth.

- BIG SUR comes preinstalled but you need to update to get 11.0.1.

NOT GOOD:

- WEBCAM still sucks. Still low resolution and just does not look good in FaceTime, Teams, etc. Shame that Apple is so slow to upgrade webcams on the Macs (the 27"" iMac FINALLY upgraded to 1080p front cams only a couple months ago... I got one and it looks so much better than this MBA's camera).

- ONLY 2 PORTS. Sad that this thing has only 2 USB-C ports (that cover thunderbolt 3, USB 3.1, charging, DisplayPort). Given that it is used to charge, it leaves only one USB-C port for other use, pretty lame. I wish they had squeezed (I think it would fit) a USB-A port so that I could plug in my wireless mouse USB-A dongle as I have never liked any bluetooth mouse, or at least one more USB-C port.

- NEW TECH (Apple silicon) means the M1-optimized apps are still being rolled out, e.g. Photoshop still not available at release.

- BATTERY still cannot be removed, no surprise here, but means that like all Apple mobile tech it will have a useable lifespan determined at least partly by the non-removable battery. Easier to have an iPhone's battery replaced than a MBA I would imagine but hopefully it maintains a high level of performance for 4 years at the minimum.

OVERALL:

A few negatives (mostly the webcam) but enough significant improvements that this MBA is really a no-brainer for anyone needing a non-power notebook compute, especially if s/he is already in the Apple ecosystem. Love it so far!",True,470 people found this helpful
,5.0,"Reviewed in the United States on September 24, 2022","I recently migrated to Apple after many years using a wide variety of PCs running Windows or Linux. I decided to make that move after Apple's introduction of the M1 processor, which has been proven to be an excellent hardware platform. Now. of course, the M2 has been released, but, depending on your needs, the 2020 Macbook Air with the M1 will save you some money while still delivering outstanding performance and some of the most attractively and perfectly manufactured hardware. You can search the Internet for professional reviews of the Macbook Air, but I feel confident you'll find plenty to verify what I'm saying.

The Retina display is beautiful. The sound system is superior to any other laptop I have owned or used. The battery holds up all day under typical use, and I can verify that the battery holds its charge well for at least a week while the notebook is powered off. The Apple OS (Monterey) is smooth and fast, and I was able to learn my way around in it quickly. When you need help, a Google search will yield tons of tips quickly, or you can avail yourself of Apple support.

I will say that the Air is a little short on USB ports, lacks a built-in card slot, and, of course, is not equipped with a touchscreen. However, I have run a USB hub from one of the two Thunderbolt ports, and there seems to be enough power to support my flash drives and card readers...even a portable DVD-burner. As far as a touchscreen goes, I have that on a Dell laptop I run Linux on, but I never use it...guess I'm a mouse or touchpad guy.

The aluminum housing is beautifully machined and finished, the keyboard has a very nice touch, the battery seems to charge quickly, and the Air is light at under 3 lbs.

One last thing! I have been a heavy user of both Google and Microsoft services, and I have found that Apple provides ample support for integrating those services into the Mac environment. I run Google's Backup and Sync and Microsoft's OneDrive with no problems. My AVG subscription allows me to use my antivirus software on both Mac OS and Windows machines.

I have no regrets for this purchase. Actually, the Air was my 3rd M1 Mac. I also have an iMac and a Mac Mini. They all work together very well!",True,252 people found this helpful
,5.0,"Reviewed in the United States on March 13, 2025",I received the item with overnight and shipping and it was in excellent shape when it arrived. The M1 chip is really fast. I'm very happy with the overall condition and price of this computer.,True,One person found this helpful
,5.0,"Reviewed in the United States on February 3, 2025","The 13"" MacBook Air with the M1 chip is an excellent choice for those looking for a powerful and lightweight laptop for daily use.

The best:
Performance: The M1 chip offers exceptional performance compared to previous models.
Battery life: The battery of the MacBook Air M1 offers impressive autonomy, allowing you to work for hours without needing to charge it.

Cons
With the current price, Maybe you can consider M2 or M3 and the base of 256GB of storage, Maybe Would not fit a heavy use.",True,2 people found this helpful
,5.0,"Reviewed in the United States on September 7, 2021","I have had the M1 MacBook Air 13-inch now since December 2020. It has served me so well and has been one of the most reliable laptops I've ever owned. I am originally a PC guy and now work back and forth between Windows OS and Mac OS.

When it comes to rendering videos and clips, this does a way better job at 4K resolution compared to my former Alienware 17 inch laptop AND my workplace's gaming desktop!

I am pretty happy with the battery life so far. I have been getting 10+ hours of hard real-world usage. I bring a nice USB-C portable battery with me to charge it when I am doing work on the weekends out of town or while on the plane. This thing has not failed me once.

8GB of RAM is more than enough for the majority of consumers and is enough for me even though I edit photos and videos all the time. I have not seen any ""throttling"" from the M1 MacBook Air since ownership. I can even open up 30+ tabs on Chrome without issue.

256GB storage is enough as long as you have an external storage. I highly recommend investing in getting an SSD or NVMe external storage so transfer speeds are optimal. Otherwise, as long as you are keeping the core hard drive tidy, you won't run into any storage issues.

Virtual classes are nice. The webcam quality is crystal clear, and it is noticeably better than most of my peers.

My only complaint is that the design is a bit ""outdated"" despite how premium and beautiful it is.

Just FYI. I just bought two of these; one for myself and one for my friend who just had a massive upgrade from her ""prehistoric"" 2010 iMac. She was absolutely mindblown by how much faster and better it is compared to the older iMac.

Overall, this is a very nice all-around computer laptop for ANY student from K all the way up to the graduate level. Go get this beast of a machine now for $850.",True,72 people found this helpful
,5.0,"Reviewed in the United States on November 5, 2023","I had been a Mac user for years, but then got interested in the Microsoft Surface line, and bought the Pro 6 model a few years back. I liked it well enough, despite finding that I really didn't use the convertible capabilities of that device very often -- I found it to be too heavy to use as a proper tablet, and it also didn't function very well as a true ""laptop.""
I ""upgraded"" a few months back to the Surface Pro 9, and found it to actually be a downgrade. Main issues being: no noticeable improvements in performance or display quality, and the VERY noisy fan would be screaming almost constantly during normal usage. Also, the battery life was absolutely abysmal.
I finally got fed-up, noticed that there were great deals to be had on the M1 MacBook Air, and thought `why not?' SO glad I gave it a try! I notice absolutely no performance difference between either of the Surface models I owned, and it runs quiet -- because there is NO fan to make any noise. In my experience so far the unit does not overheat, either. And the kicker: battery life is absolutely amazing. As in: seemingly unkillable. It just goes and goes, for hours of normal usage. I love it. With the Surface, I wouldn't even consider taking anywhere to work, without a power supply. Now I wouldn't hesitate to take my MacBook and I bet I could work all day at a remote location without plugging in.
As far as being back in the Apple/Mac ecosystem: meh. I'm surprised how little MacOS has NOT changed since I lasted was a user, and also how kinda underwhelming it is. But in 2023 do different flavors of operating system really matter? Nope. Once you open a browser it simply doesn't matter. I'm getting used to hitting the ""Apple"" key again, but that's not a big deal.
Overall, very happy. The MacBook is a solid choice, and I'm glad I just got the Air over the Pro -- I have no need for the larger screen nor the premium performance, and the M1 Air is a major bargain right now.",True,22 people found this helpful
,4.0,"Reviewed in the United States on February 5, 2025",computer is good but my charger has already stopped working.,True,0 people found this helpful
,5.0,"Reviewed in the United States on February 2, 2025","Intro
I purchased the M1 MacBook Air in 2023, and the experience has been great, albeit with some minor bugs introduced in macOS Sonoma, which were fixed in macOS Sequoia. Fast forward to March 2024, Apple replaced the base model M1 MacBook Air with the M2 MacBook Air. This now makes it an even greater time to purchase the M1 MacBook Air, as prices have decreased, making the price of admission more accessible to a wider audience. The power and performance that you get with an M1 MacBook Air are greater than that of a 16-inch MacBook Pro with an Intel i9 processor. When that machine came out, it cost 5x the cost of the M1 MacBook Air. Let that sit in your head for a minute, and be sure to never question or doubt the power that the M1 MacBook Air possesses. As said in the slogan of the M1 MacBook Air by Apple, “Power. It’s in the Air.” That remains true in 2025, even with the release of the M3 MacBook Air. This machine is powerful enough to be used for audio, video, and photo production, and it won’t be reduced to typing documents and web browsing anytime soon.

All Macs based on the modern architecture of Apple Silicon are fully capable of doing professional work regardless of needs, and the M1 MacBook Air is no exception. If you are currently on any Intel-based machine, the improvements in performance are night and day. If you are limited on cash, you no longer have an excuse not to purchase a brand-new Mac laptop. In addition to great performance, Apple Silicon is far more efficient in power consumption than its predecessor. Because of this, we are able to get “real” all-day battery life using the same battery, in the same chassis as the previous Intel-based MacBook Air. The chassis features the iconic wedge-shaped design with no sharp edges, making this machine comfortable to type on.

Specs
The M1 MacBook Air sports what Apple calls “Magic keyboard,” which is essentially a refinement of the “proper” keyboard that Apple has used all these years before the tragedy known as the butterfly keyboard was introduced. We get a 13-inch IPS LED backlit display with a native resolution of 2560x1600, 400 nits of brightness, wide color P3 gamut, and true tone technology. This is an improvement over the previous Intel-based Retina MacBook Air released the same year, which only featured an sRGB color gamut. These improvements enable photo and video editing with more accurate color grading to be achieved on the M1 MacBook Air. The 720p webcam features an “advanced image signal processor with computational video,” which enhances video quality over its predecessor.

Wi-Fi 6 (802.11ax) is also included in the M1 MacBook Air as opposed to Wi-Fi 5 (802.11ac) in its predecessor. This means multiuser support (OFDMA) with support for up to 8 AP spatial streams and a max data rate of 9.6 Gbps. 802.11ax supports these performance benefits on both 2.4 GHz and 5 GHz bands. In contrast, 802.11ac supported 4 AP special streams, a max data rate of 6.9 Gbps, and was only supported on the 5 GHz band. 802.11ax includes BSS (basic service set) coloring, which adds a field to the wireless frame in order to overcome interference associated with same-frequency cell coexistence, leading to increased capacity and stability over its predecessor. 802.11ax also uses less power than its predecessor, adding to improved battery life.

The M1 chip features an 8-core CPU with 4 performance cores and 4 efficiency cores, a 7-core GPU, and a 16-core Neural Engine. The notebook comes with a 49.9 watt-hour lithium-polymer battery and a 30W USB-C Power Delivery power adapter. Apple says that the battery life can last up to 15 hours when web browsing and up to 18 hours while watching Apple TV. That is an improvement over its predecessor, which provided up to 11 hours when web browsing wirelessly and up to 12 hours for Apple TV movie playback.

Touch ID offers a convenient and secure authentication method, particularly when using your MacBook Air in public spaces where you may not desire your keystrokes to be recorded by unethical individuals.

Desktop Setup
After purchasing and using this machine in a proper desk setup, there are two things I have taken note of. The included 30W charger is underpowered when the MacBook Air is used in a ""desktop"" setup with an external display and SSD attached, as the additional power is drawn from the batteries during peak usage. The M1 MacBook Air has 2 USB-C ports. If you are using a non-USB-C based monitor, you will be required to use a USB-C hub with HDMI, etc., in order to use this device in a proper desktop configuration. Apple’s Multiport USB-C AV Adapter takes 6W of power for itself, leaving a theoretical 24W for the MacBook Air. macOS’s energy management is top-notch; however, when used in this configuration, processor and graphically intensive tasks will cause the MacBook Air to pull power from the battery in addition to that being supplied by the power adapter.

The max power will be pulled initially, but after thermal throttling kicks in, the power requirements are reduced, and power is then taken exclusively from the power adapter. During the initial stage, coconutBattery shows 1-5W of power being pulled from the battery, but then this amount is gradually reduced to 0W after a few minutes. The battery loses less than 1% state-of-charge during this process according to coconutBattery; however, this negligible amount is not displayed by the built-in battery meter, which will still indicate 100% SoC.

At first, I had assumed that this would not be an issue, as I was advised by other “pros”. The M2 & M3 MacBook Air and many Windows-based notebooks conduct this same behavior out-of-the-box when pushed with their included charger connected directly to them. My mind was at rest regarding the matter until I saw my battery health degrading rapidly. After less than 5 months, macOS showed a battery health reading of 89%, and coconutBattery displayed a reading of 84%. I continued using the default charger until less than a month later when macOS displayed a battery health reading of 88%, and coconutBattery displayed a reading of 82%. I began to assume that my battery was defective and that I would have to return and replace my machine as it was less than 6 months old.

Despite all the noise from other “tech pros” in the IT industry who claim that “your Mac can manage itself” and that using the underpowered charger is a non-issue, my intuition was telling me that due to power being pulled from the battery while plugged in, the battery health meter was incorrect and needed to be re-calibrated. Thankfully, I had already owned an Anker A2613 60W Power Port Atom III Gan charger purchased on Amazon in 2019 that I used exclusively to charge my previous Non-Retina MacBook Air. That Mac along with its battery is still going strong today, albeit with the unavoidable “Service Recommended” tag that only just came on in February of 2024. I swapped out the included 30W Apple power adapter for the 60W Anker. I then used it exclusively with the M1 MacBook Air over the period of 2 weeks, discharging to 0% and back to 100% at least 2 times per week. This re-calibrated the battery’s health sensors, and sure enough, the battery health reading in coconutBattery increased, thankfully. macOS held on to its 88% battery health percentage for the greater part of 2024, while coconutBattery reported an increase to ~85.2% up from the 82% it previously displayed.

Battery Temperature
When charging from 1% SoC, battery temperatures climb to 38 ℃ when using the included 30W charger and up to ~40 ℃ with the 60W Anker charger. The max charging temperature for lithium-ion batteries is 45℃, and so this temperature is well within tolerances; macOS will automatically disable charging if temperatures reach that level. During sustained processor and graphically intense usage, the M1 MacBook Air’s battery temperature can be seen maxing out at ~45.5 ℃ until thermal throttling kicks in and consequently reducing battery temperature to ~43 ℃ while the task remains in progress. This is the “intense usage” temperature regardless of the M1 MacBook Air being used while plugged in with a full battery or while being used unplugged. The maximum discharge rate for lithium-ion batteries is 60℃, so once again this is within tolerances. When the task is completed, the battery’s temperature gradually cools back down to an idle temperature of ~36 ℃. Using the MacBook in clamshell mode surprisingly has little effect on its thermals from my testing. The thermal management of the M1 MacBook Air is very impressive for a fan-less device.

Conclusion
Overall, the M1 MacBook Air is an excellent machine in 2025, with its iconic, classy, and timeless design. It continues to demonstrate the real meaning of value and performance. Like I said before, the power and performance that you get with an M1 MacBook Air is greater than that of a 16-inch MacBook Pro with an Intel i9 processor. When that machine came out, it cost almost USD$4000. Many professionals still use that machine till this date for work. In 2025, the slogan for the M1 MacBook still stands true today: “Power. It’s in the Air.”

As an audio professional, I have completed several projects using a base model 2013 MacBook Air with 4GB RAM and 128GB SSD. Projects were stored on an external drive, and the internal drive used exclusively for the OS and its applications. That laptop is still running flawlessly today. Fast forward to 2023 when I purchased my M1 MacBook Air with 8GB RAM and 256GB SSD. Performance is flawless, and the value is unmatched. This laptop has been recommended by almost everyone in the tech industry over the M2 MacBook Air as the best laptop to buy in 2020-2024 until Apple removed it from their website. M2 runs hotter and is less efficient than M1, making its gains negligible in the chassis of a fan-less MacBook Air. With the M3 MacBook Air, Apple has improved upon the shortcomings of the M2 MacBook Air. They have brought back dual NAND chips for SSD speeds compatible with the M1 MacBook Air, and with the new 3-nanometer architecture of the M3, efficiency and thermal performance have improved. In my experience, the M2 MacBook Air is the one to skip. If you are looking for value and performance, get the M1 MacBook Air, and if you are looking for the latest, get the M3 MacBook Air. Both machines, in their base configuration, are fully capable of professional audio, video, and photo editing.",True,5 people found this helpful
,4.0,"Reviewed in the United States on December 8, 2022","Updated review with more detail [after 2 weeks]. ** See additional note re color.

I switched to Mac 11 years ago, and for that entire period, I had the same laptop, a Macbook Pro, late-2011 model. After the initial adjustment, it has been a great laptop for all of these years. I used it for school, work, online browsing, a few applications, and streaming videos. I have never gamed on my 2011 laptop. Of course, it slowed down considerably after several years, and software and hardware updates can only help so much with an older model. So, I finally decided to purchase a new laptop, and based on my research on recent macbook models, the price and value was right on this 2020 Macbook Air.

GENERAL FEATURES: Switching from a Pro to an Air model is weird at first because the Air is SO thin and lightweight. It has an extremely slim profile. I have to be extra careful when I grab the laptop to move to another room. Like other reviewers have said, the screen extends almost to the edge with minimal bezel, which also means very minimal border, so you are getting a ""larger"" screen. I did not mind the thick bezel black border on my pro and have been used to it for so long, but I took for granted that it actually provided a lot of protection for my screen. The macbook air has almost no bezel, which in my opinion, is not ideal. Let's hope it doesn't drop or get off balance because there is basically no protection for the screen. My older macbook pro has fallen a few times on it's corner or edge in 11 years and been fine, aside from minor cosmetic damage. But the larger edge and bezel came in really handy on the macbook pro when it lost balance and fell off the counter several years ago, but I quickly saved it by grabbing it by the screen and significantly reducing the impact when it landed [luckily not on hard floor]. Obviously not an ideal way to grab it, but it was a necessary save in that moment. The only damage was cracks through the top of my screen from the pressure of my palm, and some minor dent in the bottom of the laptop. Cosmetic damage, but thankfully did not effect the screen light, LCD, or anything else. I do not think the macbook air would survive this, especially how the screen is built.

BATTERY: Upon opening the box, the battery life was already pretty high, and I decided not to charge it until the battery decreased to around 10-15%. I was still using my original macbook during the day for work, and the new macbook air during the evening for mostly online use and going through all of the system preferences and settings, and watching youtube in the background. Keeping that limited use in mind, I did not need to charge it for maybe 1 week. Great battery life thus far. I will likely be shifting to use this macbook air for work soon, in order to take advantage of the current OS, higher ram, and M1 chip, especially because I connect to virtual servers, which can take a toll on the ram and processor.

SPEED/PORTS/BLUETOOTH: Compared to an older model pro, it has good speeds so far. I already knew that the number of ports have been reduced significantly, and that air has less ports than a pro anyway, so I purchased a thunderbolt adapter and a USB hub in advance to take care of that issue. So far, the thunderbolt adapter works fine to connect the macbook air to my Thunderbolt Display monitor. The bluetooth was able to connect to my ear buds, although pairing did take a bit longer than I expected. The bluetooth preferences do seem to be less detailed/less options than my previous macbook pro.

CHARGER: ** In my opinion, the previous magnetic chargers were superior to the current ones. They attached via magnet, the indicator light was red while charging, and green when fully charged. Easy and convenient. The mag-safe charger on this computer requires an additional push to be plugged in fully. This is just like most electronic devices, so it is not a bad feature, just requires an adjustment. It is probably safer for the computer and prevents it from easily coming unplugged. However, there is no indicator light, so you can't tell that it is plugged in and successfully charging unless you look at the battery status in the menu bar, and you also cannot see when it is finished charging just at a glance. You cannot confirm when the laptop is closed or on lock screen. You have to open the laptop, log in, and then check. Big bummer. **

MISCELLANEOUS FEATURES: My previous macbook had a great feature: check the battery life at a glance with a quick push of a button while the laptop is still closed. After some additional research, I realized that apple removed the battery light indicator on the macbook pros many years ago, and that airs never had this feature. Big bummer. There is no way to check the battery life on this model without opening the laptop AND logging in, as the battery status in the menu bar on lock screen only shows the icon, but won't show you the percentage until you log in. Not ideal at all.

-------
Quick review for recently purchased product [during Black Friday]. I will update with a more detailed review once I have used it for a longer period.
***** Important Note: If you are on the fence about purchasing the ""gold,"" don't get it. I had a silver MacBook Pro for many years, and I went back and forth for several days about the gold, especially after reading recent reviews and viewing customer images on multiple retailers that said the gold is closer to rose gold. I would disagree and say that the color is actually better described as dark blush pink or dark a reddish-mauve. Definitely not the look I wanted to have, and I regret not purchasing the staple silver, especially as I keep my electronics for many years beyond the 'normal time.' It would be a hassle and a lot of money to purchase the silver instead, since we cannot exchange in-store.",True,322 people found this helpful
