username,rating,date,review_text,pros,cons
Sarah W.,5,2024-05-03,"I’ll never buy a different conditioner. This actually leaves my scalp feeling nice, not just my hair. It’s so so good and smells amazing too. My husband uses it too!!",,
,3,2022-02-04,I only used it one time this product from Palmer's. It has a nice scent very long lasting just like all that good lotions it's nothing to improve at least I don't think Palmer's Target the main source of the problem that you're having whether it's dry skin dry scalp it does it all thumbs up.,,
Anahy Ju,5,2021-11-18,"mi&nbsp; acondicionador es el mejor para&nbsp; mi cabello, es un maravilloso, increible, extravagante, excelsior y magnifico producto. Amo este producto mas que a otro, super mega lo recomiendo para el cabello, es un muy muy bueno y eficaz y muy accesible en cuanto al precio.",,
Phoebe We,5,2021-11-15,"This is amazing!! Palmers is my go to hair care range now. Free of all the nasties, smells delightful and leaves my hair feeling silky, smooth and soft! Hight recommend this to anyone and everyone.",,
Carolyn D.,5,2021-11-08,This work great. I usually leave in on for about 15 minutes with a shower cap.my hair feel amazing after the shine and moisture is it for me It's a bit pricey but worth it.,,
Kirsty A.,4,2021-10-21,"This is a budget conditioner but it definitely does the job. It has the distinct Palmers scent, which I’m not overly keen on for my hair but it’s certainly not unpleasant. This left my hair feeling nice and soft and didn’t weigh it down.",,
Danielle H,5,2021-09-23,Graaaat product love the smell and texture.&nbsp; Leaves my hair soft and flowy! Dry hair especially! The packaging is simple and environment&nbsp;,,
Elora Di,5,2021-09-23,Best conditioner I have ever used!!! Leaves my hair silky smooth and nice and voluminous. Keeps my hair looking shiny for days but not oily and it nourished my hair making it look so healthy!! So satisfied and will definitely buy again,,
Joanna J.,5,2021-09-03,I absolutely love this conditioner. It’s my most used conditioner because it has such a lovely scent . It leaves your hair soft and shining,,
Maria Tu,4,2021-08-02,This product is amazing. I have very dry hair and it has added more moisture to it so it is now healthy. I would definitely recommend this product and it is very affordable to.,,
Saira Ch,5,2021-07-14,"Amo este producto es muy bueno, pero en mi casa lo usa mi mamá, mis hermanas y yo y la nos deja el cabello súper suave y manejable 😍😍😍😍😍Su contextura al aplicar el producto es muy agradable, quieres seguir aplicándotelo!",,
Colinette Ac,4,2021-06-28,My hair was damaged for a while used this a couple times and I won’t say it completely healed but it did help tremendously with simple maintenance.,,
Elie Ma,5,2021-06-14,I love this product! I think it is so good for my curls! It leaves my scalp hydrated but not oily. I think it is so good for all hair types. It lathers so good i am definitely satisfied with this product!!,,
Mardi Be,5,2021-06-07,"I’m in love with all their products! They are well made with good ingredients! My hair is manageable, shiny, and of course smells great!",,
Cheyenne R,4,2021-05-06,THIS IS GOOD !! but I’ll only give it 4 stars. This is best for dry scalp. I have it myself and I’ve been using this for about 2 years,,
Arailys He,5,2021-04-10,"I can't stop using them, I recommend them 100% A friend recommended it to me and I loved it",,
Lauren La,5,2020-04-22,"An amazing product, i use this for my hair as i have extensions so is best for my hair as doesn’t contain sulphates. it really softens the hair of extensions",,
Mary Na,5,2020-02-26,"This product is great, not expensive and works great. It has that nice Coconut smell and has actually started repairing my dry damaged hair. I would highly recommend this product.",,
SugarPlum6515 Pi,5,2019-12-27,This will make your hair so soft a n d manageable. I like to use this after I have had a protective style.,,
Marium K.,5,2016-04-26,"I have started using this product in winters, keeping in view seasonal requirements. I find it very nourishing for my hair. It made them healthy, silky and easy to manageable. It has one of the nicest cocoa butter smell and you will feel like eating it. It has no sulfate & parabens which are great. The only negative about this it can make your hair bit greasy which is totally justified because this product meant for this. I generally apply this in my ends and leave it for 2-3 minutes and then rinse off. Pros: * Nice smell * Sulfate & Paraben free * smoothns the texture of hair Cons: * Can make hair bit greasy Any Tips?: If you feel your hair are becoming more greasy/ heavy in texture, apply in a less quantity in your ends only Ideal For...: Dry to Damaged Hair.",,
Phoenix Ph,2,2016-01-19,I don't really like their hair products very well...i have long and thick hair and this product just didn't give my hair the smoothness and softness i was looking for in a conditioner...however i do live their lotion products!,,
Kirstin M,3,2015-02-25,"Not a big fan, but will use it if I have to. It caused my hair to break out, so I try not to use it too often.",,
Kristen Mc,5,2015-02-06,I used this stuff the whole time I was pregnant and I never got any stretch marks!,,
Glamour G.,5,2014-12-23,"Palmer's Cocoa Butter is the best! I've used it as a night cream and a daily moisturizer for my whole body. I don't have to worry about needing to reapply on any area of my skin, except my hands because I wash them alot.",,
Rachel S.,5,2014-12-03,I love the scent of cocoa butter and the effects are proven to reward our bodys in so many ways.,,
