username,rating,date,review_text,pros,cons
Morgan H.,4,1 day ago,I tried the CeraVe moisturizer lotion which I was impressed on how hydrated it made my skin. It didn’t have a weird residue texture like most lotions do after. I wish the smell would be more fragrant but it’s just a pretty bland smell. Price point isn’t expensive at all.,,
Gigi T.,5,2 days ago,"It absorbs quickly, leaving skin feeling soft and smooth without any oily residue. It is very ideal for my skin as it has no fragrances.",,
Maria G.,5,7 days ago,"I have really sensitive skin on my face and cannot use most products without breaking out. This is my go-to moisturizer, it feels very moisturizing on my skin. This size lasts me a long time since i only use a pea size a time. Absolutely recommend!",,
Mariia K.,5,8 days ago,This lotion cerave brand so cute!!! Super moisturizer!!! My skin after him so nice!!!! Price very nice!!!! Also packing very good!!!! I love this lotion so much!!!!,,
Irene A.,3,10 days ago,"I feel like this hydrating cream is too liquid and oily. When I apply it, it never fully dries and leaves my skin super oily afterwards. It does hydrate your skin, but maybe too much. I have the travel size and the packaging has worked well. This lotion has no specific smell.",,
Rebecca D.,5,11 days ago,"when my skin is feeling dry, this is the first thing i reach for. it’s super lightweight, smells clean, packaging is nice, and it’s honestly a great product. i use it a lot to mix with my primers when doing makeup, which works really well.",,
Destiny V.,5,11 days ago,"I've been using the CeraVe Daily Moisturizing Lotion for a while now and honestly, I have zero complaints. I have combination skin that tends to get flaky around my T-zone, and this moisturizer has helped keep my skin balanced. The formula is lightweight but still super hydrating, it absorbs quickly without leaving a greasy or sticky residue. It layers well under makeup & sunscreen and does not cause breakouts or irritation. A little bit goes a LONG way, so the bottle lasts a long time! This has become a staple in my skincare routine.",,
Muni H.,4,11 days ago,love this moisturizer! its light and delicate on the skin and leaves my face soft and moisturized the whole day! the scent is delicate too i would recommend!,,
Zulma A.,4,11 days ago,Bueno producto me deja la cara Súper suave además de que tengo la piel grasa me queda súper linda la piel y el olor muy agradable recomiendo para una piel súper bonita,,
Amanda R.,5,12 days ago,I use this crave lotion everyday it is fast absorbing. It helps keep my skin tight and moisturized. I really like that there is no scent and it has an easy-to-use pump.,,
