username,rating,date,review_text,pros,cons
Morgan H.,4,2025-04-25,I tried the CeraVe moisturizer lotion which I was impressed on how hydrated it made my skin. It didn’t have a weird residue texture like most lotions do after. I wish the smell would be more fragrant but it’s just a pretty bland smell. Price point isn’t expensive at all.,,
Gigi T.,5,2025-04-23,"It absorbs quickly, leaving skin feeling soft and smooth without any oily residue. It is very ideal for my skin as it has no fragrances.",,
Maria G.,5,2025-04-19,"I have really sensitive skin on my face and cannot use most products without breaking out. This is my go-to moisturizer, it feels very moisturizing on my skin. This size lasts me a long time since i only use a pea size a time. Absolutely recommend!",,
Mariia K.,5,2025-04-18,This lotion cerave brand so cute!!! Super moisturizer!!! My skin after him so nice!!!! Price very nice!!!! Also packing very good!!!! I love this lotion so much!!!!,,
Irene A.,3,2025-04-16,"I feel like this hydrating cream is too liquid and oily. When I apply it, it never fully dries and leaves my skin super oily afterwards. It does hydrate your skin, but maybe too much. I have the travel size and the packaging has worked well. This lotion has no specific smell.",,
Rebecca D.,5,2025-04-15,"when my skin is feeling dry, this is the first thing i reach for. it’s super lightweight, smells clean, packaging is nice, and it’s honestly a great product. i use it a lot to mix with my primers when doing makeup, which works really well.",,
Destiny V.,5,2025-04-15,"I've been using the CeraVe Daily Moisturizing Lotion for a while now and honestly, I have zero complaints. I have combination skin that tends to get flaky around my T-zone, and this moisturizer has helped keep my skin balanced. The formula is lightweight but still super hydrating, it absorbs quickly without leaving a greasy or sticky residue. It layers well under makeup & sunscreen and does not cause breakouts or irritation. A little bit goes a LONG way, so the bottle lasts a long time! This has become a staple in my skincare routine.",,
Muni H.,4,2025-04-14,love this moisturizer! its light and delicate on the skin and leaves my face soft and moisturized the whole day! the scent is delicate too i would recommend!,,
Zulma A.,4,2025-04-14,Bueno producto me deja la cara Súper suave además de que tengo la piel grasa me queda súper linda la piel y el olor muy agradable recomiendo para una piel súper bonita,,
Amanda R.,5,2025-04-14,I use this crave lotion everyday it is fast absorbing. It helps keep my skin tight and moisturized. I really like that there is no scent and it has an easy-to-use pump.,,
Jessica D.,4,2025-04-11,Years ago I was having issues with my skin and my dermatologist recommended this brand. I was really glad it wasn’t some expensive brand but something you could pick up anywhere. generally wear this lotion on non-makeup days because it seems a tad bit much under my makeup. For me a half a pump is plenty so it will last you quite a while. I’ve never had any issues with sensitivity or breakouts although I’ve never had issues with breakouts. It’s a wonderful everyday moisturizer.,,
Asya P.,5,2025-04-10,"I've been using CeraVe Daily Moisturizing Lotion for a while now, and it's honestly made a big difference for my dry skin. It's lightweight but super hydrating, and it absorbs quickly without feeling greasy. My skin feels noticeably softer and smoother after using it consistently. I also like that it's fragrance-free and has ceramides to help repair the skin barrier. Definitely a go-to if you struggle with dryness and want something simple but effective.",,
Stephanie K.,5,2025-04-08,I actually bought the value sized CeraVe daily moisturizing lotion to use for my broken ankle/skin graft because I loved how it made my face feel so moisturized. I think this works great! It has a nice scent and it feels lite versus sticky. I would recommend it as a great multi-use moisturizer.,,
Salma A.,5,2025-04-08,"A really great texture, has an effectiveness on thee skin, and really secure packaging, and has no scent, and perfect ingredients for dry skin and is just perfect.",,
